ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING,YEAR
SAM HOUSTON STATE UNIVERSITY,HUNTSVILLE,TX,UNITED STATES,1,"$77,577",2014
SAN DIEGO BIOMEDICAL RESEARCH INSTITUTE,SAN DIEGO,CA,UNITED STATES,7,"$2,908,026",2014
SAN DIEGO MESA COLLEGE,SAN DIEGO,CA,UNITED STATES,1,"$222,770",2014
SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,UNITED STATES,73,"$25,608,176",2014
SAN FRANCISCO DEPT OF PUBLIC HEALTH,SAN FRANCISCO,CA,UNITED STATES,1,"$162,313",2014
SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,UNITED STATES,20,"$8,325,698",2014
SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,UNITED STATES,7,"$1,260,628",2014
SAN JUAN BAUTISTA SCHOOL OF MEDICINE,CAGUAS,PR,UNITED STATES,1,"$109,245",2014
SAN JUAN HEALTH DEPARTMENT,SAN JUAN,PR,UNITED STATES,1,"$98,520",2014
"SANARIA, INC.",ROCKVILLE,MD,UNITED STATES,9,"$5,951,551",2014
SANDIA CORP-SANDIA NATIONAL LABORATORIES,ALBUQUERQUE,NM,UNITED STATES,2,"$1,880,195",2014
"SANDSTONE DIAGNOSTICS, INC.",LIVERMORE,CA,UNITED STATES,1,"$149,189",2014
"SANERON CCEL THERAPEUTICS, INC.",TAMPA,FL,UNITED STATES,1,"$211,473",2014
SANFORD RESEARCH/USD,SIOUX FALLS,SD,UNITED STATES,18,"$13,244,763",2014
SANFORD-BURNHAM MEDICAL RESEARCH INSTIT,LA JOLLA,CA,UNITED STATES,125,"$59,934,324",2014
SANGER INSTITUTE,CAMBRIDGE,NA,UNITED KINGDOM,1,"$2,530,561",2014
SANGUINE DIAGNOSTICS AND THERAPEUTICS,OMAHA,NE,UNITED STATES,1,"$225,000",2014
"SANOFI PASTEUR BIOLOGICS, LLC",CAMBRIDGE,MA,UNITED STATES,1,"$6,072,797",2014
SANTANDER INDUSTRIAL UNIVERSITY,BUCARAMANGA,NA,COLOMBIA,1,"$50,976",2014
SARC,ANN ARBOR,MI,UNITED STATES,1,"$2,162,001",2014
"SARVER AND ASSOCIATES, INC.",Cookeville,TN,UNITED STATES,1,"$132,355",2014
SAVANNAH STATE UNIVERSITY,SAVANNAH,GA,UNITED STATES,2,"$403,421",2014
"SAVANT HWP, INC.",SAN CARLOS,CA,UNITED STATES,1,"$620,161",2014
"SAVARA, INC.",Austin,TX,UNITED STATES,1,"$1,680,649",2014
"SCARAB GENOMICS, LLC",MADISON,WI,UNITED STATES,2,"$1,446,410",2014
"SCARLESS LABORATORIES, INC.",BEVERLY HILLS,CA,UNITED STATES,4,"$622,130",2014
SCHEPENS EYE RESEARCH INSTITUTE,BOSTON,MA,UNITED STATES,28,"$11,804,291",2014
SCIENCE MUSEUM OF MINNESOTA,ST. PAUL,MN,UNITED STATES,1,"$255,572",2014
"SCIENCE TAKE-OUT, LLC",PITTSFORD,NY,UNITED STATES,1,"$143,497",2014
"SCI-ENGI-MEDCO SOLUTIONS, INC.",SAINT CHARLES,MO,UNITED STATES,1,"$224,958",2014
SCIENTIFIC ANALYSIS CORPORATION,SAN FRANCISCO,CA,UNITED STATES,3,"$1,527,352",2014
SCINTILLON INSTITUTE FOR PHOTOBIOLOGY,SAN DIEGO,CA,UNITED STATES,2,"$1,025,946",2014
"SCION CARDIO-VASCULAR, INC.",MIAMI,FL,UNITED STATES,1,"$225,000",2014
SCOTT AND WHITE MEMORIAL HOSPITAL,TEMPLE,TX,UNITED STATES,1,"$331,080",2014
"SCR, INC.",LOUISVILLE,KY,UNITED STATES,1,"$320,765",2014
SCRIPPS FLORIDA,JUPITER,FL,UNITED STATES,67,"$28,969,076",2014
SCRIPPS HEALTH,SAN DIEGO,CA,UNITED STATES,1,"$186,934",2014
SCRIPPS RESEARCH INSTITUTE,LA JOLLA,CA,UNITED STATES,319,"$189,474,873",2014
"SCYNEXIS, INC.",DURHAM,NC,UNITED STATES,1,"$224,288",2014
"SEACHANGE PHARMACEUTICALS, INC.",SAN JOSE,CA,UNITED STATES,1,"$453,470",2014
"SEACOAST SCIENCE, INC.",CARLSBAD,CA,UNITED STATES,1,"$455,024",2014
"SEATOX RESEARCH, INC.",WILMINGTON,NC,UNITED STATES,1,"$224,408",2014
SEATTLE BIOMEDICAL RESEARCH INSTITUTE,SEATTLE,WA,UNITED STATES,24,"$17,381,313",2014
SEATTLE CHILDREN'S HOSPITAL,SEATTLE,WA,UNITED STATES,84,"$39,068,563",2014
SEATTLE INST FOR BIOMEDICAL/CLINICAL RES,SEATTLE,WA,UNITED STATES,14,"$6,484,165",2014
SEATTLE-KING COUNTY PUBLIC HEALTH DEPT,SEATTLE,WA,UNITED STATES,1,"$438,537",2014
"SECURBORATION, INC.",MELBOURNE,FL,UNITED STATES,1,"$149,994",2014
SEDIA BIOSCIENCES CORPORATION,PORTLAND,OR,UNITED STATES,2,"$1,195,490",2014
SEIU EDUCATION AND SUPPORT FUND,WASHINGTON,DC,UNITED STATES,1,"$540,443",2014
"SELECTA BIOSCIENCES, INC.",WATERTOWN,MA,UNITED STATES,1,"$2,249,470",2014
SELEXYS PHARMACEUTICALS CORPORATION,OKLAHOMA CITY,OK,UNITED STATES,2,"$2,314,309",2014
"SELFA, INC.",LOS ANGELES,CA,UNITED STATES,1,"$212,718",2014
"SEMBA BIOSCIENCES, INC.",MADISON,WI,UNITED STATES,1,"$711,327",2014
SEMINEX CORPORATION,PEABODY,MA,UNITED STATES,1,"$146,905",2014
"SENSIQ TECHNOLOGIES, INC.",OKLAHOMA CITY,OK,UNITED STATES,1,"$1,076,985",2014
"SENTIEN BIOTECHNOLOGIES, INC.",MEDFORD,MA,UNITED STATES,1,"$1,016,886",2014
SENTILUS,DURHAM,NC,UNITED STATES,1,"$177,631",2014
SEPULVEDA RESEARCH CORPORATION,SEPULVEDA,CA,UNITED STATES,1,"$284,594",2014
SEQUELA,PEWEE VALLEY,KY,UNITED STATES,1,"$183,839",2014
"SEQUELLA, INC.",ROCKVILLE,MD,UNITED STATES,1,"$725,317",2014
SEQUOIA FOUNDATION,LA JOLLA,CA,UNITED STATES,1,"$49,853",2014
"SERAPH ROBOTICS, INC.",ITHACA,NY,UNITED STATES,1,"$225,000",2014
"SERPIN PHARMA, LLC",NOKESVILLE,VA,UNITED STATES,1,"$188,508",2014
SETON HALL UNIVERSITY,SOUTH ORANGE,NJ,UNITED STATES,6,"$1,012,831",2014
"SEVIDENT, INC.",REDWOOD CITY,CA,UNITED STATES,1,"$300,000",2014
"SFC FLUIDICS, LLC",FAYETTEVILLE,AR,UNITED STATES,1,"$532,640",2014
"SHAL TECHNOLOGIES, INC.",LIVERMORE,CA,UNITED STATES,1,"$748,921",2014
SHANGHAI INSTITUTE OF MATERIA MEDICA,SHANGHAI,NA,CHINA,1,"$135,000",2014
SHANGHAI MENTAL HEALTH CENTER,SHANGHAI,NA,CHINA,1,"$91,208",2014
SHANGHAI MUNICIPAL CTR/DISEASE/CONT/PREV,SHANGHAI,NA,CHINA,1,"$49,075",2014
"SHARKLET TECHNOLOGIES, INC.",AURORA,CO,UNITED STATES,3,"$921,908",2014
SHARP MEMORIAL HOSPITAL,SAN DIEGO,CA,UNITED STATES,2,"$254,208",2014
SHAW UNIVERSITY,RALEIGH,NC,UNITED STATES,1,"$77,501",2014
"SHEEHAN MEDICAL, LLC",MERCER ISLAND,WA,UNITED STATES,1,"$197,632",2014
SHENANDOAH UNIVERSITY,WINCHESTER,VA,UNITED STATES,1,"$29,149",2014
SHEPHERD CENTER,ATLANTA,GA,UNITED STATES,1,"$294,301",2014
SHIFA BIOMEDICAL CORPORATION,MALVERN,PA,UNITED STATES,1,"$500,000",2014
"SHUTTLE PHARMACEUTICALS, LLC",ROCKVILLE,MD,UNITED STATES,1,"$191,971",2014
"SIBTECH, INC.",Brookfield,CT,UNITED STATES,1,"$222,920",2014
"SIGA TECHNOLOGIES, INC.",CORVALLIS,OR,UNITED STATES,1,"$1,246,033",2014
"SIGMOVIR BIOSYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,"$225,000",2014
"SIGNABLOK, INC.",WORCESTER,MA,UNITED STATES,2,"$892,660",2014
"SIGNAL SOLUTIONS, LLC",LEXINGTON,KY,UNITED STATES,1,"$168,773",2014
SIGNUM BIOSCIENCES,MONMOUTH JUNCTION,NJ,UNITED STATES,1,"$676,059",2014
"SIGRAY, INC.",WILMINGTON,DE,UNITED STATES,1,"$224,968",2014
"SILBIOTECH, INC.",NORTH POTOMAC,MD,UNITED STATES,1,"$224,931",2014
SILENT SPRING INSTITUTE,NEWTON,MA,UNITED STATES,2,"$1,079,451",2014
SILICOG,BERKELEY,CA,UNITED STATES,1,"$350,059",2014
"SILICON AUDIO, LLC",AUSTIN,TX,UNITED STATES,1,"$149,828",2014
"SILICON BIODEVICES, INC.",PALO ALTO,CA,UNITED STATES,1,"$993,000",2014
"SILICON KIDNEY, LLC",SAN FRANCISCO,CA,UNITED STATES,2,"$449,519",2014
SILVER LAKE RESEARCH CORPORATION,MONROVIA,CA,UNITED STATES,2,"$521,510",2014
"SIMBEX, LLC",LEBANON,NH,UNITED STATES,3,"$1,712,127",2014
"SIMMERSION, LLC.",COLUMBIA,MD,UNITED STATES,2,"$734,848",2014
SIMON FRASER UNIVERSITY,BURNABY,BC,CANADA,3,"$1,470,387",2014
"SIMPHOTEK, INC.",NEWARK,NJ,UNITED STATES,1,"$225,000",2014
"SIMPLEC, LLC",ATLANTA,GA,UNITED STATES,1,"$362,602",2014
"SIMQUEST , LLC",ANNAPOLIS,MD,UNITED STATES,1,"$1,087,913",2014
"SIMULCONSULT, INC.",CHESTNUT HILL,MA,UNITED STATES,2,"$1,517,594",2014
"SINOORA, INC.",ATLANTA,GA,UNITED STATES,1,"$150,000",2014
"SIRENAS MARINE DISCOVERY, LLC",SAN DIEGO,CA,UNITED STATES,1,"$291,941",2014
"SIRNAX, INC.",ANN ARBOR,MI,UNITED STATES,1,"$224,921",2014
"SITEONE THERAPEUTICS, INC.",REDWOOD CITY,CA,UNITED STATES,1,"$681,135",2014
"SKULPT, INC.",DAVIE,FL,UNITED STATES,4,"$2,050,206",2014
SLOAN-KETTERING INST CAN RESEARCH,NEW YORK,NY,UNITED STATES,244,"$113,567,614",2014
"SMALL MOLECULE PPI MIMICS, LLC",COLLEGE STATION,TX,UNITED STATES,1,"$224,800",2014
"SMART ACTIVITIES OF DAILY LIVING, LLC",PHILADELPHIA,PA,UNITED STATES,1,"$142,066",2014
"SMARTMOVE, INC.",FORT COLLINS,CO,UNITED STATES,1,"$7,000",2014
SMITH COLLEGE,NORTHAMPTON,MA,UNITED STATES,2,"$621,322",2014
SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,SAN FRANCISCO,CA,UNITED STATES,7,"$2,472,578",2014
SMITHSONIAN INSTITUTION,ARLINGTON,VA,UNITED STATES,1,"$370,861",2014
"SOCIAL AND SCIENTIFIC SYSTEMS, INC.",SILVER SPRING,MD,UNITED STATES,7,"$8,946,261",2014
SOCIAL SCIENCES INNOVATIONS CORPORATION,NEW YORK,NY,UNITED STATES,1,"$471,659",2014
SOCIETY FOR ACADEMIC EMERGENCY MEDICINE,DES PLAINES,IL,UNITED STATES,1,"$10,000",2014
SOCIETY FOR DEVELOPMENTAL BIOLOGY,BETHESDA,MD,UNITED STATES,1,"$12,000",2014
SOCIETY FOR INVESTIGATIVE DERMATOLOGY,CLEVELAND,OH,UNITED STATES,1,"$25,000",2014
SOCIETY FOR NEUROSCIENCE,WASHINGTON,DC,UNITED STATES,2,"$375,266",2014
"SOCIETY FOR PREVENTION RESEARCH, INC.",FAIRFAX,VA,UNITED STATES,1,"$168,000",2014
SOCIETY FOR THE ADV CHICANOS/NATIVE AMER,SANTA CRUZ,CA,UNITED STATES,1,"$1,646,460",2014
SOCIETY OF BEHAVIORAL MEDICINE,MILWAUKEE,WI,UNITED STATES,1,"$12,500",2014
SOCIETY OF TOXICOLOGY,RESTON,VA,UNITED STATES,2,"$50,000",2014
SOCIOMETRICS CORPORATION,LOS ALTOS,CA,UNITED STATES,5,"$1,781,298",2014
"SOFIE BIOSCIENCES, LLC",CULVER CITY,CA,UNITED STATES,1,"$590,265",2014
"SOLANO PHARMACEUTICALS, INC.",BERKELEY,CA,UNITED STATES,1,"$225,959",2014
"SOLIGENIX, INC.",PRINCETON,NJ,UNITED STATES,3,"$6,366,498",2014
"SOLOHEALTH, INC.",DULUTH,GA,UNITED STATES,1,"$132,819",2014
"SOMAGENICS, INC.",SANTA CRUZ,CA,UNITED STATES,4,"$1,607,443",2014
"SOMNARUS, INC.",MOUNTAIN VIEW,CA,UNITED STATES,2,"$575,643",2014
"SONATA BIOSCIENCES, INC.",AUBURN,CA,UNITED STATES,1,"$265,864",2014
"SONG DIAGNOSTIC RESEARCH, LLC",WOODSIDE,CA,UNITED STATES,2,"$284,677",2014
"SONIC TECH, INC.",LOWER GWYNEDD,PA,UNITED STATES,1,"$199,240",2014
"SONORAN BIOSCIENCES, INC.",CHANDLER,AZ,UNITED STATES,1,"$149,967",2014
"SOPHIA BIOSCIENCE, INC.",MARIETTA,GA,UNITED STATES,1,"$224,996",2014
"SORRENTO THERAPEUTICS, INC.",SAN DIEGO,CA,UNITED STATES,4,"$1,747,230",2014
SOUTH CAROLINA STATE UNIVERSITY,ORANGEBURG,SC,UNITED STATES,1,"$67,448",2014
SOUTH DAKOTA STATE UNIVERSITY,BROOKINGS,SD,UNITED STATES,5,"$1,082,704",2014
SOUTHEAST CANCER CONTROL CONSORTIUM,WINSTON-SALEM,NC,UNITED STATES,1,"$3,126,856",2014
"SOUTHEAST TECHINVENTURES, INC.",DURHAM,NC,UNITED STATES,2,"$1,134,785",2014
SOUTHERN CALIFORNIA COLLEGE OF OPTOMETRY,FULLERTON,CA,UNITED STATES,1,"$238,666",2014
SOUTHERN CALIFORNIA INST FOR RES/EDUC,LONG BEACH,CA,UNITED STATES,6,"$1,944,116",2014
SOUTHERN CONNECTICUT STATE UNIVERSITY,NEW HAVEN,CT,UNITED STATES,1,"$467,562",2014
SOUTHERN ILLINOIS UNIV AT EDWARDSVILLE,EDWARDSVILLE,IL,UNITED STATES,1,"$91,800",2014
SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,CARBONDALE,IL,UNITED STATES,11,"$2,718,293",2014
SOUTHERN ILLINOIS UNIVERSITY SCH OF MED,SPRINGFIELD,IL,UNITED STATES,13,"$2,641,171",2014
SOUTHERN METHODIST UNIVERSITY,DALLAS,TX,UNITED STATES,6,"$1,924,122",2014
SOUTHERN NEVADA CANCER RESEARCH FDN,LAS VEGAS,NV,UNITED STATES,3,"$1,004,696",2014
SOUTHERN RESEARCH INSTITUTE,BIRMINGHAM,AL,UNITED STATES,22,"$9,849,276",2014
SOUTHERN UNIV A&M COL BATON ROUGE,BATON ROUGE,LA,UNITED STATES,1,"$362,181",2014
SOUTHWEST RESEARCH INSTITUTE,SAN ANTONIO,TX,UNITED STATES,1,"$520,743",2014
SOUTHWESTERN COLLEGE,CHULA VISTA,CA,UNITED STATES,1,"$81,000",2014
"SOYMEDS, INC.",DAVIDSON,NC,UNITED STATES,2,"$666,222",2014
SPACE SCIENCE INSTITUTE,BOULDER,CO,UNITED STATES,1,"$258,330",2014
SPARTANBURG REGIONAL MEDICAL CENTER,SPARTANBURG,SC,UNITED STATES,2,"$616,148",2014
SPAULDING REHABILITATION HOSPITAL,CHARLESTOWN,MA,UNITED STATES,5,"$1,514,347",2014
"SPECTRADYNE, LLC",ROLLING HILLS ESTATES,CA,UNITED STATES,1,"$213,490",2014
"SPECTRAL MOLECULAR IMAGING, INC.",BEVERLY HILLS,CA,UNITED STATES,1,"$209,944",2014
"SPECTROGLYPH, LLC",RICHLAND,WA,UNITED STATES,1,"$172,800",2014
SPECTROS CORPORATION,Portola Valley,CA,UNITED STATES,1,"$548,085",2014
SPECTRUM HEALTH HOSPITALS,GRAND RAPIDS,MI,UNITED STATES,5,"$2,952,764",2014
"SPECTRUM UNLIMITED, INC.",KENNESAW,GA,UNITED STATES,1,"$824,811",2014
SPEECH TECHNOLOGY/APPLIED RESEARCH CORP.,BEDFORD,MA,UNITED STATES,2,"$998,202",2014
SPELMAN COLLEGE,ATLANTA,GA,UNITED STATES,2,"$824,943",2014
"SPINNAKER BIOSCIENCES, INC.",SOLANA BEACH,CA,UNITED STATES,1,"$159,384",2014
"SPOT ON SCIENCES, LLC",Austin,TX,UNITED STATES,1,"$150,000",2014
"SPR THERAPEUTICS, LLC",CLEVELAND,OH,UNITED STATES,1,"$1,533,917",2014
"SPRING BANK TECHNOLOGIES, INC.",MILFORD,MA,UNITED STATES,1,"$856,160",2014
"SPRINGACTIVE, INC.",TEMPE,AZ,UNITED STATES,1,"$508,787",2014
"SPRINGSTAR, INC.",WOODINVILLE,WA,UNITED STATES,1,"$722,493",2014
"SRA INTERNATIONAL, INC.",FAIRFAX,VA,UNITED STATES,1,"$618,182",2014
SRI INTERNATIONAL,MENLO PARK,CA,UNITED STATES,45,"$22,052,207",2014
ST. BARNABAS MEDICAL CENTER,LIVINGSTON,NJ,UNITED STATES,2,"$545,308",2014
ST. FRANCIS HOSPITAL AND MEDICAL CENTER,HARTFORD,CT,UNITED STATES,2,"$33,153",2014
ST. JOHN'S UNIVERSITY,QUEENS,NY,UNITED STATES,3,"$591,690",2014
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,AZ,UNITED STATES,10,"$3,139,287",2014
ST. JUDE CHILDREN'S RESEARCH HOSPITAL,MEMPHIS,TN,UNITED STATES,90,"$62,482,117",2014
ST. LOUIS COLLEGE OF PHARMACY,SAINT LOUIS,MO,UNITED STATES,1,"$339,750",2014
ST. LUKE'S-ROOSEVELT INST FOR HLTH SCIS,NEW YORK,NY,UNITED STATES,15,"$7,886,977",2014
ST. MARY'S UNIVERSITY,SAN ANTONIO,TX,UNITED STATES,1,"$197,162",2014
ST. MICHAEL'S HOSPITAL,TORONTO,ON,CANADA,1,"$176,753",2014
ST. VINCENT HOSPITAL,GREEN BAY,WI,UNITED STATES,1,"$139,195",2014
"STANDARD IMAGING, INC.",MIDDLETON,WI,UNITED STATES,1,"$523,232",2014
STANFORD UNIVERSITY,STANFORD,CA,UNITED STATES,858,"$384,972,805",2014
STARSHIP HEALTH TECHNOLOGIES,FORT WASHINGTON,PA,UNITED STATES,1,"$198,394",2014
STATE COLLEGE OF OPTOMETRY,NEW YORK,NY,UNITED STATES,9,"$2,732,796",2014
STATE UNIVERSITY NEW YORK STONY BROOK,STONY BROOK,NY,UNITED STATES,156,"$48,108,475",2014
STATE UNIVERSITY OF NEW YORK AT ALBANY,ALBANY,NY,UNITED STATES,30,"$7,477,206",2014
STATE UNIVERSITY OF NEW YORK AT BUFFALO,BUFFALO,NY,UNITED STATES,152,"$46,349,540",2014
"STATE UNIVERSITY OF NY,BINGHAMTON",BINGHAMTON,NY,UNITED STATES,15,"$5,455,429",2014
STATENS SERUM INSTITUTE,COPENHAGEN,NA,DENMARK,1,"$193,478",2014
"STATNET CONSULTING, LLC",GAITHERSBURG,MD,UNITED STATES,1,"$29,820",2014
STEELWORKER CHARITABLE/EDUCATIONAL ORG,PITTSBURGH,PA,UNITED STATES,2,"$3,490,147",2014
STELLENBOSCH UNIVERSITY TYGERBERG CAMPUS,TYGERBERG,NA,SOUTH AFRICA,8,"$3,846,797",2014
"STEMSYNERGY THERAPEUTICS, INC.",MIAMI,FL,UNITED STATES,1,"$592,630",2014
STEVENS INSTITUTE OF TECHNOLOGY,HOBOKEN,NJ,UNITED STATES,6,"$1,271,678",2014
STEVENSON UNIVERSITY,STEVENSON,MD,UNITED STATES,1,"$91,800",2014
STEWART COMPUTATIONAL CHEMISTRY,COLORADO SPRINGS,CO,UNITED STATES,1,"$113,567",2014
STICHTING KATHOLIEKE UNIVERSITEIT,NIJMEGEN,NA,NETHERLANDS,1,"$307,314",2014
STOWERS INSTITUTE FOR MEDICAL RESEARCH,KANSAS CITY,MO,UNITED STATES,18,"$4,977,802",2014
STRYKAGEN CORPORATION,RENO,NV,UNITED STATES,1,"$219,857",2014
STUDENT NATIONAL MEDICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,1,"$70,000",2014
SUFFOLK UNIVERSITY,BOSTON,MA,UNITED STATES,2,"$60,548",2014
SULLIVAN ALLIANCE/TRANSFORM/HLTH/PROFESS,WASHINGTON,DC,UNITED STATES,1,"$893,645",2014
"SUMO BIOSCIENCES, LLC",ARCADIA,CA,UNITED STATES,1,"$224,999",2014
SUNNYBROOK & WOMEN'S COLL HLTH SCIS CTR,TORONTO,ON,CANADA,1,"$515,802",2014
SUNNYBROOK RESEARCH INSTITUTE,TORONTO,ON,CANADA,1,"$313,345",2014
SUNY DOWNSTATE MEDICAL CENTER,BROOKLYN,NY,UNITED STATES,34,"$19,904,436",2014
SUNY-FREDONIA,FREDONIA,NY,UNITED STATES,1,"$477,300",2014
"SUPERCONDUCTING SYSTEMS, INC",BILLERICA,MA,UNITED STATES,1,"$211,444",2014
SUSTAINABLE SCIENCES INSTITUTE,MANAGUA,NA,NICARAGUA,1,"$212,741",2014
"SWALLOW SOLUTIONS, LLC",MADISON,WI,UNITED STATES,1,"$225,000",2014
SWARTHMORE COLLEGE,SWARTHMORE,PA,UNITED STATES,3,"$820,815",2014
"SWEDISH MEDICAL CENTER, FIRST HILL",SEATTLE,WA,UNITED STATES,5,"$3,350,441",2014
"SYMBERIX, LLC",CHAPEL HILL,NC,UNITED STATES,1,"$225,000",2014
"SYMBIOTIX BIOTHERAPIES, INC.",BROOKLINE,MA,UNITED STATES,2,"$719,722",2014
"SYNEDGEN, INC.",CLAREMONT,CA,UNITED STATES,1,"$196,707",2014
"SYNERGY ENTERPRISES, INC.",SILVER SPRING,MD,UNITED STATES,1,"$839,693",2014
"SYNTERMED, INC,",ATLANTA,GA,UNITED STATES,1,"$164,919",2014
"SYNTHOMICS, INC.",MOSS BEACH,CA,UNITED STATES,1,"$648,950",2014
"SYNTHONICS, INC.",BLACKBURG,VA,UNITED STATES,1,"$497,790",2014
"SYNTIRON, LLC.",SAINT PAUL,MN,UNITED STATES,1,"$294,002",2014
"SYNTOUCH, LLC",SOUTH PASADENA,CA,UNITED STATES,1,"$224,191",2014
"SYNTRIX BIOSYSTEMS, INC.",AUBURN,WA,UNITED STATES,3,"$2,695,967",2014
"SYNZYME TECHNOLOGY, INC.",IRVINE,CA,UNITED STATES,1,"$971,351",2014
SYRACUSE UNIVERSITY,SYRACUSE,NY,UNITED STATES,15,"$3,881,902",2014
"SYSTEMS TECHNOLOGY, INC.",HAWTHORNE,CA,UNITED STATES,1,"$149,986",2014
TACOMA GENERAL HOSPITAL,TACOMA,WA,UNITED STATES,1,"$163,841",2014
"TACONIC FARMS, INC.",GERMANTOWN,NY,UNITED STATES,1,"$900,304",2014
"TAIGA BIOTECHNOLOGIES, INC.",AURORA,CO,UNITED STATES,2,"$381,002",2014
"TALKING FINGERS, INC.",SAN RAFAEL,CA,UNITED STATES,1,"$787,765",2014
TAMPA VA RESEARCH AND EDUCATION FDN,ZEPHYRHILLS,FL,UNITED STATES,1,"$291,124",2014
"TARGAZYME, INC.",CARLSBAD,CA,UNITED STATES,2,"$440,671",2014
"TARGESON, INC.",SAN DIEGO,CA,UNITED STATES,2,"$1,001,859",2014
"TASSO, INC.",MADISON,WI,UNITED STATES,1,"$200,000",2014
TATA MEMORIAL HOSPITAL,MUMBAI,NA,INDIA,1,"$189,801",2014
"TB BIOSICENCES, INC.",BETHLEHEM,PA,UNITED STATES,1,"$515,802",2014
"TDA RESEARCH, INC.",WHEAT RIDGE,CO,UNITED STATES,2,"$332,536",2014
TECHNION-ISRAEL INSTITUTE OF TECHNOLOGY,HAIFA,NA,ISRAEL,1,"$346,427",2014
"TECHNOVAX, INC.",TARRYTOWN,NY,UNITED STATES,2,"$809,623",2014
"TECHSHOT, INC.",GREENVILLE,IN,UNITED STATES,2,"$1,840,751",2014
TEL AVIV UNIVERSITY,TEL AVIV,NA,ISRAEL,2,"$407,288",2014
TEL-AVIV SOURASKY MEDICAL CENTER,TEL AVIV,NA,ISRAEL,1,"$426,075",2014
"TELESAGE, INC.",CHAPEL HILL,NC,UNITED STATES,2,"$933,429",2014
"TELOVISION, LLC",WEST LAFAYETTE,IN,UNITED STATES,1,"$225,000",2014
TEMPEST TECHNOLOGIES,LOS ANGELES,CA,UNITED STATES,1,"$293,508",2014
TEMPLE UNIV OF THE COMMONWEALTH,PHILADELPHIA,PA,UNITED STATES,182,"$61,266,832",2014
TENNESSEE STATE UNIVERSITY,NASHVILLE,TN,UNITED STATES,2,"$1,223,213",2014
TERAPIO,AUSTIN,TX,UNITED STATES,1,"$1,000,000",2014
TERATOLOGY SOCIETY,RESTON,VA,UNITED STATES,1,"$12,000",2014
"TERPENOID THERAPEUTICS, INC.",CORALVILLE,IA,UNITED STATES,1,"$222,881",2014
TERRA NOVA LEARNING SYSTEMS,PALO ALTO,CA,UNITED STATES,1,"$249,777",2014
"TETRA DISCOVERY PARTNERS, LLC",GRAND RAPIDS,MI,UNITED STATES,3,"$1,322,340",2014
"TETRAGENE, LLC",SALT LAKE CITY,UT,UNITED STATES,1,"$224,998",2014
"TEVIDO BIODEVICES, LLC",AUSTIN,TX,UNITED STATES,1,"$150,000",2014
TEXAS A&M AGRILIFE RESEARCH,COLLEGE STATION,TX,UNITED STATES,15,"$4,446,154",2014
TEXAS A&M UNIVERSITY,COLLEGE STATION,TX,UNITED STATES,19,"$5,109,578",2014
TEXAS A&M UNIVERSITY,COLLEGE STATION,TX,UNITED STATES,23,"$8,600,785",2014
TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,COLLEGE STATION,TX,UNITED STATES,63,"$19,163,131",2014
TEXAS A&M UNIVERSITY-CORPUS CHRISTI,CORPUS CHRISTI,TX,UNITED STATES,1,"$94,340",2014
TEXAS A&M UNIVERSITY-KINGSVILLE,KINGSVILLE,TX,UNITED STATES,6,"$984,603",2014
TEXAS BIOMEDICAL RESEARCH INSTITUTE,SAN ANTONIO,TX,UNITED STATES,27,"$25,316,745",2014
TEXAS CHRISTIAN UNIVERSITY,FORT WORTH,TX,UNITED STATES,4,"$1,936,637",2014
TEXAS ENGINEERING EXPERIMENT STATION,COLLEGE STATION,TX,UNITED STATES,9,"$1,918,800",2014
TEXAS HEART INSTITUTE,HOUSTON,TX,UNITED STATES,3,"$1,961,075",2014
TEXAS SOUTHERN UNIVERSITY,HOUSTON,TX,UNITED STATES,3,"$1,247,232",2014
TEXAS STATE UNIVERSITY-SAN MARCOS,SAN MARCOS,TX,UNITED STATES,5,"$1,425,606",2014
TEXAS TECH UNIVERSITY,LUBBOCK,TX,UNITED STATES,7,"$1,856,502",2014
TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,LUBBOCK,TX,UNITED STATES,36,"$10,506,252",2014
TEXAS WOMAN'S UNIVERSITY,DENTON,TX,UNITED STATES,1,"$86,864",2014
TF HEALTH CORPORATION,FOUNTAIN HILLS,AZ,UNITED STATES,1,"$350,703",2014
"TF SENSORS, LLC",MESA,AZ,UNITED STATES,1,"$493,118",2014
THE MIND RESEARCH NETWORK,ALBUQUERQUE,NM,UNITED STATES,12,"$7,419,232",2014
"THERANOVA, LLC",SAN FRANCISCO,CA,UNITED STATES,2,"$436,729",2014
"THERAPYX, INC.",BUFFALO,NY,UNITED STATES,1,"$749,000",2014
"THERASOURCE, LLC",ROSLYN,NY,UNITED STATES,3,"$744,514",2014
THERATARGET,SALT LAKE CITY,UT,UNITED STATES,1,"$502,857",2014
